Time,CPU Usage %,Temperature (C)
2023-03-18 21:39:44.817309,14.1,0
2023-03-18 21:39:55.034988,2.6,0
2023-03-18 21:40:05.252475,2.5,0
2023-03-18 21:40:15.459272,2.2,0
2023-03-18 21:40:25.670652,2.2,0
2023-03-18 21:40:35.867596,2.4,0
2023-03-18 21:40:46.109472,2.4,0
2023-03-18 21:40:56.286405,1.1,0
2023-03-18 21:41:06.473804,1.6,0
2023-03-18 21:41:16.674808,2.5,0
2023-03-18 21:41:26.869498,2.5,0
2023-03-18 21:41:37.058082,2.5,0
2023-03-18 21:41:47.232294,2.4,0
2023-03-18 21:41:57.413358,2.8,0
2023-03-18 21:42:07.592806,2.2,0
2023-03-18 21:42:17.765118,1.1,0
2023-03-18 21:42:27.961608,3,0
2023-03-18 21:42:38.170851,2.9,0
2023-03-18 21:42:48.357578,3,0
2023-03-18 21:42:58.566694,2.6,0
2023-03-18 21:43:08.747464,2.8,0
2023-03-18 21:43:18.910916,2.7,0
2023-03-18 21:43:29.095360,1.1,0
2023-03-18 21:43:39.445079,2.4,0
2023-03-18 21:43:49.700310,2.8,0
2023-03-18 21:43:59.893092,2.8,0
2023-03-18 21:44:10.106479,2.8,0
2023-03-18 21:44:20.283295,2.7,0
2023-03-18 21:44:30.455772,2.6,0
2023-03-18 21:44:40.639621,5.3,0
2023-03-18 21:44:50.819668,24.9,0
2023-03-18 21:45:00.999417,28.1,0
2023-03-18 21:45:11.187033,17.2,0
2023-03-18 21:45:21.384288,2.7,0
2023-03-18 21:45:31.585750,2.8,0
2023-03-18 21:45:41.758335,2.6,0
2023-03-18 21:45:51.936573,2.7,0
2023-03-18 21:46:02.113391,1.1,0
2023-03-18 21:46:12.291811,2.2,0
2023-03-18 21:46:22.483718,2.8,0
2023-03-18 21:46:32.695245,2.7,0
2023-03-18 21:46:42.951933,2.8,0
2023-03-18 21:46:53.147153,2.7,0
2023-03-18 21:47:03.329079,2.7,0
2023-03-18 21:47:13.508613,2,0
2023-03-18 21:47:23.674536,1.4,0
2023-03-18 21:47:33.855670,3,0
2023-03-18 21:47:44.109963,3,0
2023-03-18 21:47:54.294799,7,0
2023-03-18 21:48:04.549818,4,0
2023-03-18 21:48:15.023029,3.6,0
2023-03-18 21:48:25.216444,2.6,0
2023-03-18 21:48:35.393998,1.5,0
2023-03-18 21:48:45.570580,4,0
2023-03-18 21:48:55.759595,6.6,0
2023-03-18 21:49:05.932514,2.5,0
2023-03-18 21:49:16.131252,3,0
2023-03-18 21:49:26.309074,7.8,0
2023-03-18 21:49:36.478137,3,0
2023-03-18 21:49:46.693161,2,0
2023-03-18 21:49:56.872604,1.2,0
2023-03-18 21:50:07.057886,2.7,0
2023-03-18 21:50:17.262116,2.8,0
2023-03-18 21:50:27.455973,2.7,0
2023-03-18 21:50:37.653012,2.9,0
2023-03-18 21:50:47.816352,3.8,0
