Time,Temperature (C),CPU Usage %
2023-03-18 21:39:44.817309,0,14.1
2023-03-18 21:39:55.034988,0,2.6
2023-03-18 21:40:05.252475,0,2.5
2023-03-18 21:40:15.459272,0,2.2
2023-03-18 21:40:25.670652,0,2.2
2023-03-18 21:40:35.867596,0,2.4
2023-03-18 21:40:46.109472,0,2.4
2023-03-18 21:40:56.286405,0,1.1
2023-03-18 21:41:06.473804,0,1.6
2023-03-18 21:41:16.674808,0,2.5
2023-03-18 21:41:26.869498,0,2.5
2023-03-18 21:41:37.058082,0,2.5
2023-03-18 21:41:47.232294,0,2.4
2023-03-18 21:41:57.413358,0,2.8
2023-03-18 21:42:07.592806,0,2.2
2023-03-18 21:42:17.765118,0,1.1
2023-03-18 21:42:27.961608,0,3
2023-03-18 21:42:38.170851,0,2.9
2023-03-18 21:42:48.357578,0,3
2023-03-18 21:42:58.566694,0,2.6
2023-03-18 21:43:08.747464,0,2.8
2023-03-18 21:43:18.910916,0,2.7
2023-03-18 21:43:29.095360,0,1.1
2023-03-18 21:43:39.445079,0,2.4
2023-03-18 21:43:49.700310,0,2.8
2023-03-18 21:43:59.893092,0,2.8
2023-03-18 21:44:10.106479,0,2.8
2023-03-18 21:44:20.283295,0,2.7
2023-03-18 21:44:30.455772,0,2.6
2023-03-18 21:44:40.639621,0,5.3
2023-03-18 21:44:50.819668,0,24.9
2023-03-18 21:45:00.999417,0,28.1
2023-03-18 21:45:11.187033,0,17.2
2023-03-18 21:45:21.384288,0,2.7
2023-03-18 21:45:31.585750,0,2.8
2023-03-18 21:45:41.758335,0,2.6
2023-03-18 21:45:51.936573,0,2.7
2023-03-18 21:46:02.113391,0,1.1
2023-03-18 21:46:12.291811,0,2.2
2023-03-18 21:46:22.483718,0,2.8
2023-03-18 21:46:32.695245,0,2.7
2023-03-18 21:46:42.951933,0,2.8
2023-03-18 21:46:53.147153,0,2.7
2023-03-18 21:47:03.329079,0,2.7
2023-03-18 21:47:13.508613,0,2
2023-03-18 21:47:23.674536,0,1.4
2023-03-18 21:47:33.855670,0,3
2023-03-18 21:47:44.109963,0,3
2023-03-18 21:47:54.294799,0,7
2023-03-18 21:48:04.549818,0,4
2023-03-18 21:48:15.023029,0,3.6
2023-03-18 21:48:25.216444,0,2.6
2023-03-18 21:48:35.393998,0,1.5
2023-03-18 21:48:45.570580,0,4
2023-03-18 21:48:55.759595,0,6.6
2023-03-18 21:49:05.932514,0,2.5
2023-03-18 21:49:16.131252,0,3
2023-03-18 21:49:26.309074,0,7.8
2023-03-18 21:49:36.478137,0,3
2023-03-18 21:49:46.693161,0,2
2023-03-18 21:49:56.872604,0,1.2
2023-03-18 21:50:07.057886,0,2.7
2023-03-18 21:50:17.262116,0,2.8
2023-03-18 21:50:27.455973,0,2.7
2023-03-18 21:50:37.653012,0,2.9
2023-03-18 21:50:47.816352,0,3.8
2023-03-18 21:50:57.991334,0,9.1
2023-03-18 21:51:08.156918,0,0.4
2023-03-18 21:51:18.347803,0,2.1
2023-03-18 21:51:28.544913,0,2.9
2023-03-18 21:51:38.735086,0,2.4
2023-03-18 21:51:49.003675,0,2.2
2023-03-18 21:51:59.231336,0,2.3
2023-03-18 21:52:09.411588,0,2.3
2023-03-18 21:52:19.587591,0,1.3
2023-03-18 21:52:29.764293,0,1
2023-03-18 21:52:39.964049,0,2.3
2023-03-18 21:52:50.220356,0,2.4
2023-03-18 21:53:00.422677,0,2.6
2023-03-18 21:53:10.651010,0,3.1
2023-03-18 21:53:20.825683,0,2.2
2023-03-18 21:53:31.006053,0,2.4
2023-03-18 21:53:41.195404,0,0.5
2023-03-18 21:53:51.385812,0,2.3
2023-03-18 21:54:01.653401,0,2.3
2023-03-18 21:54:11.843596,0,2.2
